SibatSiyum,Min_m,dat_m,Gil_M,MatzavMishp_m,ShnatAliya_m,Shana,Machoz_m,Nafa_m
9,1,20,40,10,1900,2018,1,11
9,1,20,22,10,1900,2018,1,11
2,1,20,41,20,1900,2018,1,11
3,2,20,33,20,1900,2018,1,11
1,1,20,50,20,1900,2018,1,11
10,1,20,25,10,1900,2018,1,11
3,1,20,26,10,1900,2018,1,11
6,2,20,44,10,1900,2018,1,11
6,2,20,47,20,1900,2018,1,11
6,1,20,26,10,1900,2018,1,11
1,1,20,27,30,1900,2018,1,11
10,1,20,26,10,1900,2018,1,11
8,2,40,31,10,1900,2018,1,11
6,1,20,57,20,1900,2018,1,11
2,1,20,74,20,1900,2018,1,11
1,1,20,23,10,1900,2018,1,11
10,2,20,46,20,1900,2018,1,11
6,1,20,49,20,1900,2018,1,11
10,2,20,61,10,1967,2018,1,11
6,1,20,35,20,1900,2018,1,11
6,1,20,40,20,1900,2018,1,11
6,1,20,27,20,1900,2018,1,11
3,2,20,28,20,1900,2018,1,11
6,1,20,59,20,1900,2018,1,11
5,1,20,41,10,1900,2018,1,11
10,1,20,48,20,1900,2018,1,11
10,2,20,38,20,1900,2018,1,11
10,1,20,28,10,1900,2018,1,11
10,2,20,35,10,1900,2018,1,11
10,1,20,41,20,1900,2018,1,11
3,2,20,30,20,1900,2018,1,11
3,1,20,30,10,1900,2018,1,11
10,2,20,51,20,1900,2018,1,11
3,2,20,26,10,1900,2018,1,11
5,2,20,32,20,1900,2018,1,11
3,1,20,33,20,1900,2018,1,11
8,2,20,74,40,1900,2018,1,11
2,2,20,27,10,1900,2018,1,11
1,1,20,21,10,1900,2018,1,11
6,2,20,64,10,1900,2018,1,11
3,1,20,63,20,1900,2018,1,11
6,1,20,24,10,1900,2018,1,11
10,2,20,32,20,1900,2018,1,11
1,1,20,50,20,1900,2018,1,11
6,1,20,48,20,1900,2018,1,11
9,1,20,39,30,1900,2018,1,11
6,1,20,33,20,1900,2018,1,11
10,1,20,41,10,1900,2018,1,11
6,1,20,77,20,1900,2018,1,11
6,2,20,91,40,1900,2018,1,11
1,2,20,23,10,1900,2018,1,11
6,1,20,24,10,1900,2018,1,11
10,2,20,69,20,1900,2018,1,11
10,1,20,42,20,1900,2018,1,11
1,1,20,77,20,1900,2018,1,11
10,2,20,54,20,1971,2018,1,11
8,1,20,26,10,1900,2018,1,11
10,1,20,51,20,1900,2018,1,11
8,1,10,30,10,1900,2018,2,21
6,1,10,23,10,1900,2018,2,21
3,1,10,44,20,1900,2018,2,21
8,1,10,33,10,1900,2018,2,21
6,1,10,45,20,1900,2018,2,21
6,2,10,34,10,1900,2018,2,21
3,1,10,42,10,1900,2018,2,21
5,2,10,24,10,1900,2018,2,21
